"TIME","GEO","SEX","MARSTA","AGE","UNIT","Value","Flag and Footnotes"
"2001","Belgium","Total","Persons in registered partnership","Total","Number",":",""
"2001","Belgium","Total","Widowed persons","Total","Number","729,404",""
"2001","Belgium","Total","Divorced persons","Total","Number","624,211",""
"2001","Belgium","Males","Persons in registered partnership","Total","Number",":",""
"2001","Belgium","Males","Widowed persons","Total","Number","135,308",""
"2001","Belgium","Males","Divorced persons","Total","Number","287,637",""
"2001","Belgium","Females","Persons in registered partnership","Total","Number",":",""
"2001","Belgium","Females","Widowed persons","Total","Number","594,096",""
"2001","Belgium","Females","Divorced persons","Total","Number","336,574",""
"2001","Bulgaria","Total","Persons in registered partnership","Total","Number",":",""
"2001","Bulgaria","Total","Widowed persons","Total","Number",":",""
"2001","Bulgaria","Total","Divorced persons","Total","Number",":",""
"2001","Bulgaria","Males","Persons in registered partnership","Total","Number",":",""
"2001","Bulgaria","Males","Widowed persons","Total","Number",":",""
"2001","Bulgaria","Males","Divorced persons","Total","Number",":",""
"2001","Bulgaria","Females","Persons in registered partnership","Total","Number",":",""
"2001","Bulgaria","Females","Widowed persons","Total","Number",":",""
"2001","Bulgaria","Females","Divorced persons","Total","Number",":",""
"2001","Czechia","Total","Persons in registered partnership","Total","Number",":",""
"2001","Czechia","Total","Widowed persons","Total","Number","761,368",""
"2001","Czechia","Total","Divorced persons","Total","Number","804,835",""
"2001","Czechia","Males","Persons in registered partnership","Total","Number",":",""
"2001","Czechia","Males","Widowed persons","Total","Number","109,421",""
"2001","Czechia","Males","Divorced persons","Total","Number","350,015",""
"2001","Czechia","Females","Persons in registered partnership","Total","Number",":",""
"2001","Czechia","Females","Widowed persons","Total","Number","651,947",""
"2001","Czechia","Females","Divorced persons","Total","Number","454,820",""
"2001","Denmark","Total","Persons in registered partnership","Total","Number",":",""
"2001","Denmark","Total","Widowed persons","Total","Number",":",""
"2001","Denmark","Total","Divorced persons","Total","Number",":",""
"2001","Denmark","Males","Persons in registered partnership","Total","Number",":",""
"2001","Denmark","Males","Widowed persons","Total","Number",":",""
"2001","Denmark","Males","Divorced persons","Total","Number",":",""
"2001","Denmark","Females","Persons in registered partnership","Total","Number",":",""
"2001","Denmark","Females","Widowed persons","Total","Number",":",""
"2001","Denmark","Females","Divorced persons","Total","Number",":",""
"2001","Germany (until 1990 former territory of the FRG)","Total","Persons in registered partnership","Total","Number",":",""
"2001","Germany (until 1990 former territory of the FRG)","Total","Widowed persons","Total","Number","6,239,625",""
"2001","Germany (until 1990 former territory of the FRG)","Total","Divorced persons","Total","Number","4,781,261",""
"2001","Germany (until 1990 former territory of the FRG)","Males","Persons in registered partnership","Total","Number",":",""
"2001","Germany (until 1990 former territory of the FRG)","Males","Widowed persons","Total","Number","1,034,841",""
"2001","Germany (until 1990 former territory of the FRG)","Males","Divorced persons","Total","Number","2,128,244",""
"2001","Germany (until 1990 former territory of the FRG)","Females","Persons in registered partnership","Total","Number",":",""
"2001","Germany (until 1990 former territory of the FRG)","Females","Widowed persons","Total","Number","5,204,784",""
"2001","Germany (until 1990 former territory of the FRG)","Females","Divorced persons","Total","Number","2,653,017",""
"2001","Germany including former GDR","Total","Persons in registered partnership","Total","Number",":",""
"2001","Germany including former GDR","Total","Widowed persons","Total","Number","6,239,625",""
"2001","Germany including former GDR","Total","Divorced persons","Total","Number","4,781,261",""
"2001","Germany including former GDR","Males","Persons in registered partnership","Total","Number",":",""
"2001","Germany including former GDR","Males","Widowed persons","Total","Number","1,034,841",""
"2001","Germany including former GDR","Males","Divorced persons","Total","Number","2,128,244",""
"2001","Germany including former GDR","Females","Persons in registered partnership","Total","Number",":",""
"2001","Germany including former GDR","Females","Widowed persons","Total","Number","5,204,784",""
"2001","Germany including former GDR","Females","Divorced persons","Total","Number","2,653,017",""
"2001","Estonia","Total","Persons in registered partnership","Total","Number",":",""
"2001","Estonia","Total","Widowed persons","Total","Number",":",""
"2001","Estonia","Total","Divorced persons","Total","Number",":",""
"2001","Estonia","Males","Persons in registered partnership","Total","Number",":",""
"2001","Estonia","Males","Widowed persons","Total","Number",":",""
"2001","Estonia","Males","Divorced persons","Total","Number",":",""
"2001","Estonia","Females","Persons in registered partnership","Total","Number",":",""
"2001","Estonia","Females","Widowed persons","Total","Number",":",""
"2001","Estonia","Females","Divorced persons","Total","Number",":",""
"2001","France","Total","Persons in registered partnership","Total","Number",":",""
"2001","France","Total","Widowed persons","Total","Number",":",""
"2001","France","Total","Divorced persons","Total","Number",":",""
"2001","France","Males","Persons in registered partnership","Total","Number",":",""
"2001","France","Males","Widowed persons","Total","Number",":",""
"2001","France","Males","Divorced persons","Total","Number",":",""
"2001","France","Females","Persons in registered partnership","Total","Number",":",""
"2001","France","Females","Widowed persons","Total","Number",":",""
"2001","France","Females","Divorced persons","Total","Number",":",""
"2001","France (metropolitan)","Total","Persons in registered partnership","Total","Number",":",""
"2001","France (metropolitan)","Total","Widowed persons","Total","Number","3,883,059",""
"2001","France (metropolitan)","Total","Divorced persons","Total","Number","3,099,968",""
"2001","France (metropolitan)","Males","Persons in registered partnership","Total","Number",":",""
"2001","France (metropolitan)","Males","Widowed persons","Total","Number","621,320",""
"2001","France (metropolitan)","Males","Divorced persons","Total","Number","1,291,227",""
"2001","France (metropolitan)","Females","Persons in registered partnership","Total","Number",":",""
"2001","France (metropolitan)","Females","Widowed persons","Total","Number","3,261,739",""
"2001","France (metropolitan)","Females","Divorced persons","Total","Number","1,808,741",""
"2001","Italy","Total","Persons in registered partnership","Total","Number",":",""
"2001","Italy","Total","Widowed persons","Total","Number",":",""
"2001","Italy","Total","Divorced persons","Total","Number",":",""
"2001","Italy","Males","Persons in registered partnership","Total","Number",":",""
"2001","Italy","Males","Widowed persons","Total","Number",":",""
"2001","Italy","Males","Divorced persons","Total","Number",":",""
"2001","Italy","Females","Persons in registered partnership","Total","Number",":",""
"2001","Italy","Females","Widowed persons","Total","Number",":",""
"2001","Italy","Females","Divorced persons","Total","Number",":",""
"2001","Latvia","Total","Persons in registered partnership","Total","Number",":",""
"2001","Latvia","Total","Widowed persons","Total","Number","158,082",""
"2001","Latvia","Total","Divorced persons","Total","Number","210,938",""
"2001","Latvia","Males","Persons in registered partnership","Total","Number",":",""
"2001","Latvia","Males","Widowed persons","Total","Number","19,413",""
"2001","Latvia","Males","Divorced persons","Total","Number","78,569",""
"2001","Latvia","Females","Persons in registered partnership","Total","Number",":",""
"2001","Latvia","Females","Widowed persons","Total","Number","138,669",""
"2001","Latvia","Females","Divorced persons","Total","Number","132,369",""
"2001","Lithuania","Total","Persons in registered partnership","Total","Number",":",""
"2001","Lithuania","Total","Widowed persons","Total","Number",":",""
"2001","Lithuania","Total","Divorced persons","Total","Number",":",""
"2001","Lithuania","Males","Persons in registered partnership","Total","Number",":",""
"2001","Lithuania","Males","Widowed persons","Total","Number",":",""
"2001","Lithuania","Males","Divorced persons","Total","Number",":",""
"2001","Lithuania","Females","Persons in registered partnership","Total","Number",":",""
"2001","Lithuania","Females","Widowed persons","Total","Number",":",""
"2001","Lithuania","Females","Divorced persons","Total","Number",":",""
"2001","Luxembourg","Total","Persons in registered partnership","Total","Number",":",""
"2001","Luxembourg","Total","Widowed persons","Total","Number",":",""
"2001","Luxembourg","Total","Divorced persons","Total","Number",":",""
"2001","Luxembourg","Males","Persons in registered partnership","Total","Number",":",""
"2001","Luxembourg","Males","Widowed persons","Total","Number",":",""
"2001","Luxembourg","Males","Divorced persons","Total","Number",":",""
"2001","Luxembourg","Females","Persons in registered partnership","Total","Number",":",""
"2001","Luxembourg","Females","Widowed persons","Total","Number",":",""
"2001","Luxembourg","Females","Divorced persons","Total","Number",":",""
"2001","Hungary","Total","Persons in registered partnership","Total","Number",":",""
"2001","Hungary","Total","Widowed persons","Total","Number","989,407",""
"2001","Hungary","Total","Divorced persons","Total","Number","752,527",""
"2001","Hungary","Males","Persons in registered partnership","Total","Number",":",""
"2001","Hungary","Males","Widowed persons","Total","Number","152,713",""
"2001","Hungary","Males","Divorced persons","Total","Number","303,098",""
"2001","Hungary","Females","Persons in registered partnership","Total","Number",":",""
"2001","Hungary","Females","Widowed persons","Total","Number","836,694",""
"2001","Hungary","Females","Divorced persons","Total","Number","449,429",""
"2001","Malta","Total","Persons in registered partnership","Total","Number",":",""
"2001","Malta","Total","Widowed persons","Total","Number",":",""
"2001","Malta","Total","Divorced persons","Total","Number",":",""
"2001","Malta","Males","Persons in registered partnership","Total","Number",":",""
"2001","Malta","Males","Widowed persons","Total","Number",":",""
"2001","Malta","Males","Divorced persons","Total","Number",":",""
"2001","Malta","Females","Persons in registered partnership","Total","Number",":",""
"2001","Malta","Females","Widowed persons","Total","Number",":",""
"2001","Malta","Females","Divorced persons","Total","Number",":",""
"2001","Netherlands","Total","Persons in registered partnership","Total","Number",":",""
"2001","Netherlands","Total","Widowed persons","Total","Number","882,162",""
"2001","Netherlands","Total","Divorced persons","Total","Number","886,439",""
"2001","Netherlands","Males","Persons in registered partnership","Total","Number",":",""
"2001","Netherlands","Males","Widowed persons","Total","Number","163,287",""
"2001","Netherlands","Males","Divorced persons","Total","Number","384,598",""
"2001","Netherlands","Females","Persons in registered partnership","Total","Number",":",""
"2001","Netherlands","Females","Widowed persons","Total","Number","718,875",""
"2001","Netherlands","Females","Divorced persons","Total","Number","501,841",""
"2001","Romania","Total","Persons in registered partnership","Total","Number",":",""
"2001","Romania","Total","Widowed persons","Total","Number","1,551,779",""
"2001","Romania","Total","Divorced persons","Total","Number","730,657",""
"2001","Romania","Males","Persons in registered partnership","Total","Number",":",""
"2001","Romania","Males","Widowed persons","Total","Number","211,330",""
"2001","Romania","Males","Divorced persons","Total","Number","268,279",""
"2001","Romania","Females","Persons in registered partnership","Total","Number",":",""
"2001","Romania","Females","Widowed persons","Total","Number","1,340,449",""
"2001","Romania","Females","Divorced persons","Total","Number","462,378",""
"2001","Slovenia","Total","Persons in registered partnership","Total","Number",":",""
"2001","Slovenia","Total","Widowed persons","Total","Number","127,608",""
"2001","Slovenia","Total","Divorced persons","Total","Number","78,635",""
"2001","Slovenia","Males","Persons in registered partnership","Total","Number",":",""
"2001","Slovenia","Males","Widowed persons","Total","Number","20,120",""
"2001","Slovenia","Males","Divorced persons","Total","Number","32,337",""
"2001","Slovenia","Females","Persons in registered partnership","Total","Number",":",""
"2001","Slovenia","Females","Widowed persons","Total","Number","107,488",""
"2001","Slovenia","Females","Divorced persons","Total","Number","46,298",""
"2001","Slovakia","Total","Persons in registered partnership","Total","Number",":",""
"2001","Slovakia","Total","Widowed persons","Total","Number",":",""
"2001","Slovakia","Total","Divorced persons","Total","Number",":",""
"2001","Slovakia","Males","Persons in registered partnership","Total","Number",":",""
"2001","Slovakia","Males","Widowed persons","Total","Number",":",""
"2001","Slovakia","Males","Divorced persons","Total","Number",":",""
"2001","Slovakia","Females","Persons in registered partnership","Total","Number",":",""
